Country,Fecha,Casos
Mexico,22/01/2020,0
Mexico,23/01/2020,0
Mexico,24/01/2020,0
Mexico,25/01/2020,0
Mexico,26/01/2020,0
Mexico,27/01/2020,0
Mexico,28/01/2020,0
Mexico,29/01/2020,0
Mexico,30/01/2020,0
Mexico,31/01/2020,0
Mexico,01/02/2020,0
Mexico,02/02/2020,0
Mexico,03/02/2020,0
Mexico,04/02/2020,0
Mexico,05/02/2020,0
Mexico,06/02/2020,0
Mexico,07/02/2020,0
Mexico,08/02/2020,0
Mexico,09/02/2020,0
Mexico,10/02/2020,0
Mexico,11/02/2020,0
Mexico,12/02/2020,0
Mexico,13/02/2020,0
Mexico,14/02/2020,0
Mexico,15/02/2020,0
Mexico,16/02/2020,0
Mexico,17/02/2020,0
Mexico,18/02/2020,0
Mexico,19/02/2020,0
Mexico,20/02/2020,0
Mexico,21/02/2020,0
Mexico,22/02/2020,0
Mexico,23/02/2020,0
Mexico,24/02/2020,0
Mexico,25/02/2020,0
Mexico,26/02/2020,0
Mexico,27/02/2020,0
Mexico,28/02/2020,1
Mexico,29/02/2020,4
Mexico,01/03/2020,5
Mexico,02/03/2020,5
Mexico,03/03/2020,5
Mexico,04/03/2020,5
Mexico,05/03/2020,5
Mexico,06/03/2020,6
Mexico,07/03/2020,6
Mexico,08/03/2020,7
Mexico,09/03/2020,7
Mexico,10/03/2020,7
Mexico,11/03/2020,8
Mexico,12/03/2020,12
Mexico,13/03/2020,12
Mexico,14/03/2020,26
Mexico,15/03/2020,41
Mexico,16/03/2020,53
Mexico,17/03/2020,82
Mexico,18/03/2020,93
Mexico,19/03/2020,118
Mexico,20/03/2020,164
Mexico,21/03/2020,203
Mexico,22/03/2020,251
Mexico,23/03/2020,316
Mexico,24/03/2020,367
Mexico,25/03/2020,405
Mexico,26/03/2020,475
Mexico,27/03/2020,585
Mexico,28/03/2020,717
Mexico,29/03/2020,848
Mexico,30/03/2020,993
Mexico,31/03/2020,1094
Mexico,01/04/2020,1215
Mexico,02/04/2020,1378
Mexico,03/04/2020,1510
Mexico,04/04/2020,1688
Mexico,05/04/2020,1890
Mexico,06/04/2020,2143
Mexico,07/04/2020,2439
Mexico,08/04/2020,2785
Mexico,09/04/2020,3181
Mexico,10/04/2020,3441
Mexico,11/04/2020,3844
Mexico,12/04/2020,4219
Mexico,13/04/2020,4661
Mexico,14/04/2020,5014
,,
,,
,,
