Country,Fecha,Casos,Poblacion total,Poblacion Sana,Muertes,MUERTES TOTALES
Mexico,22/01/2020,0,126577691,126577691,0,1287
Mexico,23/01/2020,0,126577691,126577691,0,
Mexico,24/01/2020,0,126577691,126577691,0,
Mexico,25/01/2020,0,126577691,126577691,0,
Mexico,26/01/2020,0,126577691,126577691,0,
Mexico,27/01/2020,0,126577691,126577691,0,
Mexico,28/01/2020,0,126577691,126577691,0,
Mexico,29/01/2020,0,126577691,126577691,0,
Mexico,30/01/2020,0,126577691,126577691,0,
Mexico,31/01/2020,0,126577691,126577691,0,
Mexico,01/02/2020,0,126577691,126577691,0,
Mexico,02/02/2020,0,126577691,126577691,0,
Mexico,03/02/2020,0,126577691,126577691,0,
Mexico,04/02/2020,0,126577691,126577691,0,
Mexico,05/02/2020,0,126577691,126577691,0,
Mexico,06/02/2020,0,126577691,126577691,0,
Mexico,07/02/2020,0,126577691,126577691,0,
Mexico,08/02/2020,0,126577691,126577691,0,
Mexico,09/02/2020,0,126577691,126577691,0,
Mexico,10/02/2020,0,126577691,126577691,1,
Mexico,11/02/2020,0,126577691,126577691,0,
Mexico,12/02/2020,0,126577691,126577691,0,
Mexico,13/02/2020,0,126577691,126577691,0,
Mexico,14/02/2020,0,126577691,126577691,0,
Mexico,15/02/2020,0,126577691,126577691,0,
Mexico,16/02/2020,0,126577691,126577691,0,
Mexico,17/02/2020,0,126577691,126577691,0,
Mexico,18/02/2020,0,126577691,126577691,0,
Mexico,19/02/2020,0,126577691,126577691,0,
Mexico,20/02/2020,0,126577691,126577691,0,
Mexico,21/02/2020,0,126577691,126577691,0,
Mexico,22/02/2020,0,126577691,126577691,0,
Mexico,23/02/2020,0,126577691,126577691,0,
Mexico,24/02/2020,0,126577691,126577691,0,
Mexico,25/02/2020,0,126577691,126577691,0,
Mexico,26/02/2020,0,126577691,126577691,0,
Mexico,27/02/2020,0,126577691,126577691,0,
Mexico,28/02/2020,1,126577691,126577690,0,
Mexico,29/02/2020,4,126577691,126577687,0,
Mexico,01/03/2020,5,126577691,126577686,0,
Mexico,02/03/2020,5,126577691,126577686,1,
Mexico,03/03/2020,5,126577691,126577686,0,
Mexico,04/03/2020,5,126577691,126577686,0,
Mexico,05/03/2020,5,126577691,126577686,0,
Mexico,06/03/2020,6,126577691,126577685,0,
Mexico,07/03/2020,6,126577691,126577685,0,
Mexico,08/03/2020,7,126577691,126577684,0,
Mexico,09/03/2020,7,126577691,126577684,0,
Mexico,10/03/2020,7,126577691,126577684,1,
Mexico,11/03/2020,8,126577691,126577683,0,
Mexico,12/03/2020,12,126577691,126577679,2,
Mexico,13/03/2020,12,126577691,126577679,0,
Mexico,14/03/2020,26,126577691,126577665,1,
Mexico,15/03/2020,41,126577691,126577650,4,
Mexico,16/03/2020,53,126577691,126577638,7,
Mexico,17/03/2020,82,126577691,126577609,5,
Mexico,18/03/2020,93,126577691,126577598,6,
Mexico,19/03/2020,118,126577691,126577573,3,
Mexico,20/03/2020,164,126577691,126577527,12,
Mexico,21/03/2020,203,126577691,126577488,11,
Mexico,22/03/2020,251,126577691,126577440,11,
Mexico,23/03/2020,316,126577691,126577375,31,
Mexico,24/03/2020,367,126577691,126577324,33,
Mexico,25/03/2020,405,126577691,126577286,33,
Mexico,26/03/2020,475,126577691,126577216,46,
Mexico,27/03/2020,585,126577691,126577106,45,
Mexico,28/03/2020,717,126577691,126576974,49,
Mexico,29/03/2020,848,126577691,126576843,52,
Mexico,30/03/2020,993,126577691,126576698,57,
Mexico,31/03/2020,1094,126577691,126576597,50,
Mexico,01/04/2020,1215,126577691,126576476,67,
Mexico,02/04/2020,1378,126577691,126576313,64,
Mexico,03/04/2020,1510,126577691,126576181,64,
Mexico,04/04/2020,1688,126577691,126576003,54,
Mexico,05/04/2020,1890,126577691,126575801,61,
Mexico,06/04/2020,2143,126577691,126575548,75,
Mexico,07/04/2020,2439,126577691,126575252,54,
Mexico,08/04/2020,2785,126577691,126574906,72,
Mexico,09/04/2020,3181,126577691,126574510,49,
Mexico,10/04/2020,3441,126577691,126574250,65,
Mexico,11/04/2020,3844,126577691,126573847,28,
Mexico,12/04/2020,4219,126577691,126573472,38,
Mexico,13/04/2020,4661,126577691,126573030,45,
Mexico,14/04/2020,5014,126577691,126572677,26,
Mexico,15/04/2020,5847,126577691,126571844,32,
Mexico,16/04/2020,6297,126577691,126571394,17,
Mexico,17/04/2020,6875,126577691,126570816,6,
Mexico,18/04/2020,8261,126577691,126569430,9,
Mexico,19/04/2020,8772,126577691,126568919,0,
